,formula_pretty,formation_energy_per_atom
149,BaHf(SiO3)3,-3.5198809103571427
150,Pu2SnHg,-0.2715635825000007
151,Cs2AgAsS4,-0.8859016437535914
152,KZr6MnCl14,-2.046097660724139
153,P2RhClF6,-2.383876356541667
154,Ta2O5,-3.3355719614285726
155,CaAsPt,-1.0194151783333334
156,Ce4Ni4Bi3Sb5,-0.7250593356249997
157,Ti4CN3,-1.6463859622916655
158,PaIn3,-0.11602845500000036
159,Tm(CoSi)2,-0.8038149253333323
160,Li3La3(MoO6)2,-2.9008626945000002
161,La2GeI2,-1.4452525250000001
162,PaInRu2,-0.3704083699999998
163,Ce(LuS2)3,-2.3745366023749996
164,UC,-0.12475041000000076
165,RbCNO,-1.2372303431249998
166,Pr2SO2,-3.421169370625001
167,Sn3F8,-2.708665987272727
168,NaInTe2,-0.7809838816379306
169,Ho2OsC2,-0.3970436454999998
170,Rb2SnO3,-1.9232125550000003
171,YSe2,-1.8726754921180546
172,SmSI,-2.102889302708333
173,EuAg(WO4)2,-2.1912055193055564
174,Na5BiO5,-1.6743984525235114
175,Eu2ZnGe3,-0.5639209025000002
176,ZrVW,-0.08477025833333347
177,Al12Re,-0.14340006576923076
178,K3Nb(SO4)4,-2.2268444801666667
179,Ce3CoGe2,-0.6235594712499998
180,Sm3(SiNi3)2,-0.5846897527272716
181,PmTlAu2,-0.5693311777083334
182,KLaCr2O8,-2.3558258889999997
183,K3SbS4,-1.1377598751875002
184,DyZnIn,-0.43222029000000006
185,Ho5Pb4,-0.5120880300000002
186,Tb6IrBr10,-1.9608782132352947
187,Pr2Ga12Pd,-0.42493058166666675
188,Rb2U3(TeO7)2,-2.8725520069047623
189,BaSc2O4,-3.689649590238096
190,Eu5Si3O13,-3.411062466428574
191,Na3(GePt)4,-0.5030804081504702
192,Rb2PbCl6,-1.7062680716666665
193,Cs2KTlF6,-2.7318256137195402
194,FeCoP,-0.550496071944444
195,UGaNi,-0.301427698055555
196,CeAlPd,-0.7825668116666668
197,SOF2,-1.95396700234375
198,GdYCo4,-0.14412173944444362
199,BaSe,-2.283762816171875
200,LuFe2SiC,-0.5279473690000017
201,Nd17Au36,-0.7675270916981132
202,SrPb3,-0.32301961166666615
203,Tl3Ga9S13O2,-1.1036677765972227
204,KPHO3F,-2.492554946261905
205,AgMo6Cl13,-1.283250404333333
206,Cs(MoS)3,-1.0348569589008625
207,Mn2InSnPd4,-0.4073459526077583
208,NaErS2,-2.0993840457004307
209,LuAlB4,-0.49943174319444356
210,SrLiAl3N4,-1.3190098355555557
211,PuSi2,-0.43757938000000013
212,RbInI4,-1.1435139056944448
213,Co3TeO6,-1.4251870475000012
214,Gd2AlNi2,-0.5157238500000005
215,Th(SiPt)2,-1.128287478
216,YbSb2,-0.7651729766666667
217,In2AgS3Cl,-0.8819882401488098
218,Ba8Li13GaSb12,-0.8965790576715688
219,Ca5(IO6)2,-2.3583321413157905
220,MgCdAu2,-0.4014887075
221,Dy2B6Os,-0.6538838847222218
222,Bi2PdO4,-1.408942188214286
223,Li8MnFe7(BO3)8,-2.3773494051652295
224,HCl,-0.8157151600000003
225,Cs2GaP4H3O14,-2.4140901315289747
226,LiPd2Pb,-0.42152898833333374
227,YCu7O12,-1.2542761403333338
228,VCoSi,-0.5758834350000003
229,Hg5(SbI3)2,-0.4390976148076922
230,ScAlCu2,-0.41294278624999947
231,Bi3Ru3O11,-1.544212079705882
232,KNp2F9,-3.74833015525
233,Sm(Mo3S4)2,-1.1756348073333338
234,Ba5Ru2Br2O9,-2.457765354722223
235,ScFeB4,-0.6702759906944445
236,Lu6Ti4Al43,-0.3208476294968556
237,Pr(AlAu)2,-0.7491345800000004
238,RbZn2HSe2O7,-1.6008077678605763
239,NdTlTe2,-1.2847037633333338
240,Be12W,-0.10411265846153893
241,Al2VCl8,-1.8714866172727278
242,YbF2,-4.46731385
243,Ca2GaSi,-0.5011535418749999
244,Cu3Hg2(Te3O8)2,-1.2650542792592587
245,VInO4,-2.2173742299999994
246,Sb2BrF15,-2.174285132638889
247,BaLa2O4,-3.582359615714285
248,TaPS6,-0.9111339516666668
249,Sm(AlGe)2,-0.4366428670000005
250,UCd(MoO4)4,-2.221774087272728
251,ThTeO,-2.994862230000001
252,Sr4Zn(IrO4)3,-2.0946993633333335
253,EuZrF7,-3.937022509166667
254,EuInPt,-0.8330087641666672
255,FeBW,-0.3634385030555561
